program_name,description,member_duties,program_benefits,terms,service_areas,skills,program_type,program_start_date,program_end_date,work_schedule,education_level,age_minimum,age_maximum,languages,accepting_applications,accept_start,accept_end,contact,listing_id,program_state,metro_area
25-26 DC Girls Baseball Program Coordinator VISTA,"DC Girls Baseball (DCGB) is a non-profit, 501(c)(3) organization dedicated to
promoting girls’ participation in baseball and fostering their love of the game. Serving as a supplement to Little League, school-based, and travel team baseball, we provide high quality coaching designed to develop girls’ social, emotional, and athletic skills. We serve ages 6-18 across DC, Maryland, and Virginia through weekly practices, skills clinics, local recreational teams, travel tournament teams, and leadership programs. DCGB combines opportunities for competitive play with a positive, supportive environment that allows our girls to grow and succeed on and off the field. As our VISTA Program Coordinator, you will work closely with the President and Board to build financial and operational sustainability for our programming and expand our outreach in the community. From drafting grant proposals and launching fundraising campaigns to streamlining operations and developing new partnerships, you will have the opportunity to engage with every aspect of our organization and to grow your own skills and experience. With the upcoming launch of a national women’s professional baseball league, it is an exciting time to help grow a future generation of baseball players in our region.

Further help on this page can be found by clicking here .","The VISTA at DC Girls Baseball will be part of the 2025-26 Coach Across America VISTA cohort of 53 members. The Program Coordinator VISTA will identify and pursue funding opportunities, improve operational efficiency and sustainability, and expand community engagement. Working closely with the President and Board, they will create a multi-year development plan, research grants, draft applications, and develop strategies to reimagine existing fundraising campaigns. The Program Coordinator will recruit and coordinate volunteers, streamline operations, and prepare procedural handbooks. Finally, they will deepen and expand DC Girls Baseball’s reach in the community by working with existing partners, forging new partnerships, attending community events, creating promotional materials, and leading outreach to local schools, neighborhoods, and youth organizations.","Training , Living Allowance , Childcare assistance if eligible , Health Coverage* , Choice of Education Award or End of Service Stipend , Relocation Allowance .","Permits working at another job during off hours , Permits attendance at school during off hours .","['Health', 'Education', 'Children/Youth']","['Communications', 'Team Work', 'General Skills', 'Youth Development', 'Writing/Editing']",['AmeriCorps VISTA'],08/11/2025,08/10/2026,['Full Time'],High school diploma/GED,18,None,['English'],From  05/07/2025  To  07/28/2025,05/07/2025,07/28/2025,"Jen Stillerman
4530 Wisconsin Ave NW
Washington   DC   20016
617-784-4431
info@dcgirlsbaseball.com",126529,['District of Columbia'],['Washington/Baltimore']
WVU Extension Service Taylor County,"Energy Express is a free award-winning, six-week, summer reading and nutrition program for children in first through sixth grades living in West Virginia’s rural and low-income communities. This program aims to prevent the “summer slide,” in which children regress in their reading skills because they aren’t learning during the summer.

During Energy Express, children statewide increase or maintain their reading levels through creative, colorful and captivating uses of books, art, drama and vocabulary. Volunteers, mentors and staff create a print-rich environment where students have access to books and printed materials, opportunities to read and write, and the chance to explore the meaning of text through engaging activities. Daily read-alouds and take-home books are a staple at Energy Express. This unique approach makes reading interesting and fun for students, motivating them to continue learning.

Our program also provides children with two nutritious meals each day during the program, helping to ensure our youths are fed each day even after the school year comes to an end.

Further help on this page can be found by clicking here .","• Taylor County 4-H – AmeriCorps member will provide STEM-related classes during the week-long Taylor County 4-H Camp and the Taylor County 4-H Cloverbud Evening Camp, have opportunities to provide STEM workshops for youth during community 4-H club meetings. • Little Feet Daycare –AmeriCorps member will collaborate with Little Feet Daycare (the only full daycare in Taylor County) to provide STEM programming for children who are enrolled in the daycare. • Taylor County Public Library – AmeriCorps member will collaborate with the public library to provide STEM programming for their summer literacy program participants. • WVU Extension Service – AmeriCorps member will provide STEM and Reading activities during programs offered to youth in the community that are not directly labeled as 4-H programs. Such programs will be offered at the Extension Service Office and community parks/playgrounds.","Education award upon successful completion of service , Training , Living Allowance .","Car recommended , Permits working at another job during off hours , Permits attendance at school during off hours .",,"['Recruitment', 'Communications', 'Education', 'Leadership', 'Teaching/Tutoring', 'Computers/Technology', 'Public Speaking']",['AmeriCorps State / National'],05/21/2025,08/15/2025,['Summer'],High school diploma/GED,18,99,,From  04/20/2025  To  08/15/2025,04/20/2025,08/15/2025,"Janet Swift
195 Thompson Rd
Hillsboro   WV   24946
3046534891
janet@highrocks.org",126426,"['West Virginia', 'Virginia']",
Starkville Strong Resource Development Coordinator VISTA,"Starkville Strong was formed in 2020 and expanded
in 2021 to coordinate efforts to identify and address community issues of food and
housing insecurity, homelessness, and gaps in social support services in the Starkville
area.Starkville Strong’s mission is “to support our most vulnerable Starkville community
neighbors through providing education, resources, and planning on their path toward a
stable and consistently supported life,” to help lift them out of poverty. The VISTA will build capacity for their mission by formalizing policies and procedures,
developingpartnerships for wraparound services and expanding community awareness
of Starkville Strong resulting in a sustainable volunteer database and effective
community partnerships.

Further help on this page can be found by clicking here .","Starkville Strong was formed in 2020 and expanded in 2021 to coordinate efforts to identify and address community issues of food and housing insecurity, homelessness, and gaps in social support services in the Starkville area.Starkville Strong’s mission is “to support our most vulnerable Starkville community neighbors through providing education, resources, and planning on their path toward a stable and consistently supported life,” to help lift them out of poverty. The VISTA will build capacity for their mission by formalizing policies and procedures, developingpartnerships for wraparound services and expanding community awareness of Starkville Strong resulting in a sustainable volunteer database and effective community partnerships.","Childcare assistance if eligible , Living Allowance , Health Coverage* , Choice of Education Award or End of Service Stipend , Relocation Allowance , Training .",None,['Health'],"['Writing/Editing', 'Recruitment', 'Non-Profit Management', 'Public Health', 'Communications', 'Community Organization', 'General Skills', 'Team Work', 'Fund raising/Grant Writing', 'Social Services']",['AmeriCorps VISTA'],08/25/2025,08/24/2026,['Full Time'],High school diploma/GED,18,None,['English'],From  02/03/2025  To  08/01/2025,02/03/2025,08/01/2025,"Christian Bradley
362 Park Creek Dr
Columbus   MS   39705
6623701922
cbradley@liveunitedms.org
https://www.liveunitedms.org/",125593,['Mississippi'],
VHA - Lynchburg Housing Authority Outreach & Outcomes VISTA,"Virginia Housing Alliance’s (VHA) AmeriCorps VISTA project is a statewide intermediary project with 18 Host Sites, all that either work to expand affordable housing opportunities and/or end homelessness throughout the Commonwealth of Virginia. VHA’s VISTA project aims to develop viable communities by promoting integrated approaches that provide decent housing, suitable living environments, and expansive economic opportunities for low and moderate-income persons. This listing is to fill the Host Site opening at the Lynchburg Redevelopment and Housing Authority (LRHA) in Lynchburg, VA. 

The Lynchburg Redevelopment and Housing Authority (LRHA) mission is to maximize housing opportunities by being a leader in community redevelopment, by revitalizing neighborhoods, and by promoting economic growth and development through collaborating with organizations and the greater community to achieve clean, comfortable, attractive, affordable housing maintained in a manner that fosters pride and dignity. LRHA is looking for a driven and organized individual to serve as the Outreach and Outcomes VISTA. The VISTA will create a communications strategy to increase affordable housing awareness in the region while also improving public housing outcomes by developing needs assessment surveys, aggregating the received data, and researching partnerships, programs, and services to address the findings.

Further help on this page can be found by clicking here .","The VISTA member will create an awareness campaign and marketing kit that LRHA will use to increase awareness around affordable housing opportunities for individuals and their families. They will develop materials that will be presented to city officials, landlords, contractors, business owners and others during meetings or community events on the benefits of affordable housing. The VISTA will also design and implement a needs assessment survey to identify service gaps for residents of LRHA’s public housing. They will utilize this data to identify funding opportunities, cultivate community partnerships to help fulfill areas of need, and research potential solutions based on current programs in place across Virginia or nationwide. In addition, the VISTA will develop procedures and policies for LHRA’s volunteer program while also implementing ways to increase volunteer participation and retention.","Health Coverage* , Choice of Education Award or End of Service Stipend , Living Allowance , Stipend , Training , Teleservice; Transportation stipend , Relocation Allowance , Childcare assistance if eligible , Education award upon successful completion of service .","Car recommended , Permits attendance at school during off hours , Permits working at another job during off hours .","['Community and Economic Development', 'Homelessness', 'Community Outreach', 'Housing']","['Writing/Editing', 'Fund raising/Grant Writing', 'Urban Planning', 'Social Services', 'Communications', 'Community Organization', 'Team Work', 'General Skills', 'Non-Profit Management']",['AmeriCorps VISTA'],08/11/2025,08/12/2026,['Full Time'],Associates degree (AA),18,None,,From  04/14/2025  To  07/15/2025,04/14/2025,07/15/2025,"Hannah Moore
2800 Patterson Ave
Richmond   VA   23221
9102582420
hmoore@vahousingalliance.org",117698,['Virginia'],
PCEI,"liouygoigy

Further help on this page can be found by clicking here .",,"Relocation Allowance , Health Coverage .","Permits working at another job during off hours , Permits attendance at school during off hours .",,['None'],['AmeriCorps State / National'],12/12/2024,02/12/2025,['Full Time'],,None,None,,From  12/12/2024  To  10/12/2025,12/12/2024,10/12/2025,"c a
1040 Rodeo Dr
Moscow   ID   83843
0009998888",125164,['Arizona'],
Achievement Connections - Tutor Coordinator & Math Tutor,"15 AmeriCorps members will serve as on-site Math Tutor Coordinators with high school students who are struggling with their math coursework.  Math tutors coordinate tutoring that is carefully aligned with school curriculum and students’ needs, with a specific focus on tutoring in Algebra and Geometry.  Math Tutors will tutor students to support their success in their current math course, primarily helping with homework and test preparation, and tutor students in basic math skills as identified by a math skills assessment. The high school tutoring program is a partnership with United Way of Dane County, the Madison Metropolitan School District (MMSD), Middleton-Cross Plains Area School District (MCPASD), and the University of Wisconsin-Madison Morgridge Center for Public Service.

Further help on this page can be found by clicking here .","Our AmeriCorps members tutor high school students in math. The role of the tutor is to engage the student in learning, provide guidance on how to find more success as a student, and help the student complete their homework, study for tests, and shore up core math skills. AmeriCorps members will also coordinate volunteers to provide additional tutoring support. Each member is part of a site-based team of AmeriCorps members.","Education award upon successful completion of service , Living Allowance , Training , Health Coverage , Childcare assistance if eligible .","Permits working at another job during off hours , Uniforms provided and required , Permits attendance at school during off hours .","['Children/Youth', 'Community and Economic Development', 'Education']","['Team Work', 'Community Organization', 'Youth Development', 'Education', 'Teaching/Tutoring']",['AmeriCorps State / National'],08/18/2025,06/12/2026,['Full Time'],High school diploma/GED,18,None,,From  03/07/2025  To  08/01/2025,03/07/2025,08/01/2025,"Karl Johnson
2059 Atwood Ave
Madison   WI   53704
608-441-7895
karl.johnson@uwdc.org
www.unitedwaydanecounty.org",55717,['Wisconsin'],
Gem Community Greeter,"The Gem State Public Health AmeriCorps program partners community members with non-profits across the state in paid volunteer positions called AmeriCorps positions. These positions offer community members the opportunity to receive support while volunteering with their favorite non-profit. The opportunity is offered each year from September 1 to August 31 every year. This program focuses on mental health and suicide intervention and prevention services.

Further help on this page can be found by clicking here .","Responsibilities include greeting community members at the front desk, inquire about services needed and check proper paperwork. Potentially help create apps, complete data entry for daily services and people provided. Occasional stocking shelves, help bringing in food donations, and help building the food boxes. Must be comfortable with interacting with the public, and all populations, and must be familiar with computer programs (Word, Excel, Google suite, Outlook).","Childcare assistance if eligible , Living Allowance , Education award upon successful completion of service .",Car recommended .,"['Public Health AmeriCorps', 'Health']",['Public Health'],['AmeriCorps State / National'],09/01/2024,08/31/2025,['Full Time'],High school diploma/GED,18,None,['English'],From  09/01/2024  To  08/31/2025,09/01/2024,08/31/2025,"Catherine Yancy
114 W Riverside Ave
Kellogg   ID   83837
2087834901
gemstate@isu.edu",125548,['Idaho'],
Mayor Buddy's Book Club - Orlando,"Orlando Cares is the City of Orlando's Cities of Service Initiative. The initiative aims to connect citizen volunteers to impactful opportunities to make a difference in Orlando. Mayor Buddy's Book Club is a signature Orlando Cares Programs that promotes youth literacy and reduces youth crime rates by providing students in grades 2-6 with a structured, after-school reading program where they are connected with a Book Buddy mentor. The book club operates at 15 City of Orlando neighborhood centers and the Orlando Public Library. The goal is to expand book club participation to additional library branches and public schools.

Further help on this page can be found by clicking here .","The AmeriCorps VISTA - Mayor Buddy's Book Club will coordinate the Mayor's Book Club by planning monthly events for youth, recruiting and managing Book Buddy volunteers, writing and administering grants, and strengthening partnerships with the Orange County Library System and Orange County Public Schools.","Choice of Education Award or End of Service Stipend , Childcare assistance if eligible , Relocation Allowance , Training , Health Coverage* , Living Allowance .","Car recommended , Permits working at another job during off hours , Permits attendance at school during off hours .","['Public Safety', 'Neighborhood Revitalization', 'Education', 'Community Outreach', 'Children/Youth']","['Teaching/Tutoring', 'Writing/Editing', 'Education', 'Team Work', 'Fund raising/Grant Writing', 'Public Speaking', 'Youth Development', 'Communications']",['AmeriCorps VISTA'],02/10/2025,02/09/2026,['Full Time'],Some college,18,None,['English'],From  10/29/2024  To  02/09/2026,10/29/2024,02/09/2026,"Colin Worley
400 S.Orange Ave
Orlando   FL   32801
4072463507
colin.worley@orlando.gov",124842,['Florida'],
Mission: Ignite Tech 360 Community Engagement Coordinator,"AmeriCorps members are crucial personnel needed to fulfill the goals of Mission: Ignite’s
programs, blending volunteer efforts with identified organizational goals to serve as part of
the Mission: Ignite team in collaboration with host sites.
As ambassadors for the mission and as part of the Mission: Ignite team, AmeriCorps
members will participate in professional development and training opportunities, learning
various applicable skill sets that may be useful in future careers. The members will also
participate in service opportunities as part of AmeriCorps cohorts and develop a network of
mission-minded people in the local region.

Further help on this page can be found by clicking here .","Identify partners and organize and manage aspects of the partnership development process • Communicate with prospective partners, host site supervisors, and other representatives about the Tech360 program; resolve questions or concerns as they arise • Utilize marketing tools to increase awareness of the digital divide and the Tech360 program • Help draft the agreements with Tech360 program partners; organize the process of onboarding a Tech360 partner • Regularly communicate with the community about the importance of tech skills; help individuals with tech support, as appropriate • Foster both new and existing relationships to discuss services and develop new collaborations • Act as a liaison between the community, the host site, and Mission: Ignite • Help host sites boost the number of Tech360 program participants","Education award upon successful completion of service , Stipend , Living Allowance , Training .",Car recommended .,['Community and Economic Development'],"['Computers/Technology', 'Communications', 'Education']",['AmeriCorps State / National'],09/01/2024,08/31/2025,['Part Time'],,17,99,['English'],From  09/01/2024  To  08/31/2025,09/01/2024,08/31/2025,"Christine Carr
701 Seneca St
Buffalo   NY   14210
7168237248
office@missionignite.org
www.missionignite.org",125530,['New York'],
Reconnecting Youth Through Career GPS,"SNA launched its AmeriCorps New York service program in 2019. AmeriCorps is focused on the good acts of Community Service and is funded, in part by, a grant from the Corporation for National and Community Service (CNCS).  
St. Nicks Alliance AmeriCorps Members serve as Youth Success Mentors who play a pivotal role in the lives of 500 high-needs youth, ages 12-24.  AmeriCorps members are placed at five high schools, three middle schools, and the SNA Workforce Development Center in Brooklyn’s Williamsburg and Bushwick neighborhoods where only 44% of adults have high school diplomas and unemployment for young adults is 18%.  Through mentorship, AmeriCorps members help youth to complete high school or vocational training, prepare for graduation, and transition into the workforce or college. 


Full-time AmeriCorps Members serve 1700 hours over 12 months, typically 5 days/week, 35 hours per week. Part-time AmeriCorps members have a modified schedule, serving 900 hours over 6-12 months.  Based on hours of service, AmeriCorps members receive a living allowance and a Segal Education Award to pay for college expenses, and in some cases, the college expenses of their children or grandchildren.  Members will receive training prior to their placement and during their service year in order to successfully meet their service responsibilities.

Further help on this page can be found by clicking here .","Mentor and assist with the administration of a student caseload through regular check-ins, coaching and other support. Students may be struggling with attendance, credit accumulation, workforce readiness, internships or vocational training Assist students with post-secondary planning, i.e. individual career planning, college and financial applications, creating resumes or applying for employment. Support socio-emotional and academic growth by helping to co-facilitate advisories and clubs Assist students to make a successful transition after middle school, high school or vocational training Research educational and employment opportunities and share with the graduating cohort, specifically in their communities. Communicate regularly with Task Supervisor to support student success· Help develop an Alumni Group through outreach. Complete related assignments to support the success of teens and young adults","Education award upon successful completion of service , Health Coverage , Living Allowance , Childcare assistance if eligible .",None,['Community and Economic Development'],"['Youth Development', 'Counseling']",['AmeriCorps State / National'],11/01/2024,01/31/2026,['Full Time'],,None,None,,From  11/01/2024  To  11/01/2025,11/01/2024,11/01/2025,"Amy Baldwin
850 Grand St
Brooklyn   NY   11211
9292953495
abaldwin@stnicksalliance.org",125686,['New York'],['New York City (inc. Long Island CT NJ NY)']
2025-26 Reading Assist Tutor - Delaware,"Reading Assist Fellows serve in elementary schools across Delaware providing reading instruction to students in kindergarten through third grade who face significant reading challenges. Fellows teach foundational reading skills to students who might never learn to read through traditional classroom education. Fellows begin with 3 weeks of full-time, graduate-level training and then are embedded into high-needs elementary schools. Fellows transform the lives of students who may have with have dyslexia or other reading disorders. Fellows work with 9-20 students for 30 minutes each day and meet with an experienced coach every week for support and feedback. The Reading Assist Fellowship, an AmeriCorps program, requires 675-1200 service hours to be completed between August 25, 2025, to June 30, 2026.  Fellows receive time off for all school holidays and breaks. The Reading Assist service year only requires 675-1200 hours, leaving ample time for part-time work to supplement living allowance. You can earn additional pay through Reading Assist's after-school tutoring.

Further help on this page can be found by clicking here .","Commit to a school year of service from Aug/Sept/Oct 2025 to June 2026, serving M-F or Tu-Th from approx. 8 a.m.-3:30 p.m., or M-F from approx. 8 a.m.-12:30 p.m. in schools. Become an integral member of the AmeriCorps community and participate in all AmeriCorps trainings, events, and projects. Teach students in schools according to the Reading Assist program: Prepare lesson plans tailored to individual student needs. Work with a Program Manager to provide individualized instruction. Meet with Program Manager regularly to discuss intervention and student progress. Monitor student progress and input data. Communicate with Program Manager, school liaisons, and Reading Assist staff members in a timely and professional manner. Maintain records as required, including student attendance and AmeriCorps hours. Help to recruit additional Reading Assist Fellows.",Education award upon successful completion of service .,Car recommended .,['Children/Youth'],['Education'],['AmeriCorps State / National'],08/25/2025,06/30/2026,['Full Time'],High school diploma/GED,None,None,['English'],From  02/21/2025  To  12/20/2025,02/21/2025,12/20/2025,"Dara Nigreville
100 W 10th St
Wilmington   DE   19801
3024851938
tutor@readingassist.org
www.readingassist.org",125772,['Delaware'],['Philadelphia/Wilmington/Atlantic City']
25-26 No Surrender Running Club Youth Programs VISTA,"No Surrender Running Club (NSRC) is a sport-for-development nonprofit dedicated to building healthier communities for youth and families in Grand Rapids, MI. NSRC’s free, all-ages, and community-based programming brings youth and families together to move, connect, and grow. 

The AmeriCorps VISTA will play a key role in helping NSRC deepen its impact by supporting the development of youth-led programming, strengthening volunteer systems, improving communications, and building new relationships with local organizations and schools. This is a great opportunity for someone who values community, relationship building, and collaboration, and is excited to help create systems that will make a difference for years to come.

We’re looking for a strong communicator, interested in learn and applying new skills, and team player who’s passionate about youth development, community building, and innovative thinking. The VISTA will gain valuable experience in nonprofit operations, curriculum co-creation, outreach, and storytelling—all while helping shape a movement that’s bigger than sport.

Join us in building a stronger future—one step, one story, and one relationship at a time.

Further help on this page can be found by clicking here .","The VISTA at NSRC will be part of the 25-26 Coach Across America VISTA of 73 members. During their term, the VISTA will strengthen No Surrender Running Club’s capacity to deliver sustainable, youth-centered programs. They will support the co-creation of a culturally affirming movement-based curriculum by facilitating youth and staff input sessions, piloting lessons, and developing training materials. The VISTA will also improve volunteer systems by surveying current practices, designing onboarding tools, and updating recruitment messaging to expand and diversify the coaching pool. To enhance communication, the VISTA will co-create a yearlong calendar, design outreach materials, and amplify youth stories through newsletters and media. Finally, they will expand community partnerships by mapping assets, engaging 10+ organizations, and launching collaborative outreach efforts that increase awareness of NSRC’s work across Kent County.","Training , Health Coverage* , Choice of Education Award or End of Service Stipend , Relocation Allowance , Living Allowance , Childcare assistance if eligible .","Permits attendance at school during off hours , Permits working at another job during off hours .","['Health', 'Children/Youth', 'Education']","['Team Work', 'Writing/Editing', 'Communications', 'Youth Development', 'General Skills']",['AmeriCorps VISTA'],08/11/2025,08/10/2026,['Full Time'],Some college,18,None,['English'],From  05/12/2025  To  08/01/2025,05/12/2025,08/01/2025,"Megan Lopez
250 Burton St SE
Grand Rapids   MI   49507
248-760-1566
megan@nosurrenderrunningclub.org",126570,['Michigan'],
Mile High Youth Corps Energy and Water Conservation,"Mile High Youth Corps is a nonprofit social enterprise program powered by Corpsmembers. This is a team based, 11 to 48 week-long program. Corpsmembers will serve Metro Denver residents by installing in-home energy and water saving measures (low-flow toilets, kitchen and bathroom aerators, programmable thermostats, and LED light bulbs). Corpsmembers will serve in teams of 2-3 to complete daily household appointments using MHYC provided vehicles, toolkits, and materials. They will also educate the community on the importance of energy and water conservation. Corpsmembers will receive education and training that offers leadership development, technical skill-building, and career readiness through industry recognized certificates. We support you as you explore your future goals and career pathways!

Further help on this page can be found by clicking here .","Corpsmembers will serve Metro Denver residents by installing in-home energy and water saving measures (low-flow toilets, kitchen and bathroom aerators, programmable thermostats, and LED light bulbs). Corpsmembers will serve in teams of 2-3 to complete daily household appointments using MHYC provided vehicles, toolkits, and materials. They will also educate the community on the importance of energy and water conservation.","Living Allowance , Stipend , Education award upon successful completion of service , Training , counseling, food bank .","Permits working at another job during off hours , Uniforms provided and required .","['Education', 'Environment', 'Community Outreach']",['Team Work'],['AmeriCorps State / National'],01/08/2025,12/12/2025,['Part Time'],High school diploma/GED,18,24,['English'],From  01/01/2025  To  08/30/2025,01/01/2025,08/30/2025,"Julia Schaller
1801 Federal Blvd
Denver   CO   80204
303-433-1206
julias@mhyc.net
https://www.milehighyouthcorps.org/apply-now/",125954,['Colorado'],
Ohio Reading and Math Corps - Dayton,"Ohio's students need you - come join our cause and help students develop into life-long learners! The Ohio Reading Corps (ORC) is seeking service-minded individuals who want to make a difference in their local community by serving as a tutor and role model for young students. 

Our program is aimed at improving reading and math skills of K-5th grade students who are below proficient for their grade, giving them better chances of long-term success. The goal of the program is to have children reach proficient reading and math levels by providing one-on-one and small-group instruction targeting their specific needs as determined by data and teacher recommendation. 

Members will acquire a set of instructional strategies through training with their other team members, and then will be assigned to a classroom building where they will be able to work directly with children and apply those strategies. 

Ohio Reading Corps will engage AmeriCorps members in Columbus, Cleveland, Dayton, and Youngstown (and surrounding areas) to provide reading and math instruction to children who are at-risk of failing to meet grade-level requirements. 

Each year, AmeriCorps provides funding to projects aimed at increasing academic achievement. However, the goals of AmeriCorps expand far beyond academics and include expanding economic opportunity and strengthening communities through civic engagement. Each AmeriCorps member is required to participate in professional development training throughout their service. In addition, members must participate in National Days of Service by volunteering in the community. Members will not engage in Prohibited Activities, as described in the Terms and Conditions, and in the member Service Agreement.

Further help on this page can be found by clicking here .","Our Members will make a difference in their local community by creating more confident students and serving as a tutor and role model. AmeriCorps Members will build strong students in Ohio by providing supplemental reading support to children in grades K - 5 who are below proficient for their grade level. Members will learn multiple intervention strategies as well as how to administer assessments. Members will also receive ongoing Member Development in the form of training, orientations, meetings, etc. Finally, Members will participate in service projects to further benefit the community in which they serve.","Education award upon successful completion of service , Experience in school setting , Training , Living Allowance .","Permits attendance at school during off hours , Permits working at another job during off hours , Car recommended .",['Education'],"['Team Work', 'Education']",['AmeriCorps State / National'],09/01/2025,05/31/2026,['Part Time'],High school diploma/GED,18,99,['English'],From  04/04/2025  To  11/30/2025,04/04/2025,11/30/2025,"Laura Drager
200 S Keowee St
Dayton   OH   45402
937-236-9965
laura.drager@mcesc.org
www.ORCK3.com",72136,['Ohio'],
Illinois JusticeCorps Fellow - Madison County,"Become an Illinois JusticeCorps Fellow and Make a Difference!

As a JusticeCorps Fellow, you will be placed in a courthouse to empower individuals who cannot afford an attorney to navigate the complexities of the civil justice system. By providing essential support and guidance, you will help ensure that everyone has access to justice.

You will also gain invaluable experience by leading a team of volunteers, creating impactful projects, collecting data, observing court proceedings, and building lasting relationships with like-minded individuals.
While support and guidance will be available, we are seeking self-motivated individuals who are eager to learn, driven to make a difference, and capable of working independently. The ideal candidate will be resourceful, independent, and driven to succeed; they will proactively seek out opportunities for growth and hold themselves accountable for meeting responsibilities and maintaining high performance, even with minimal supervision. 

Full-time Fellows receive a $25,000 living allowance, while half-time Fellows receive $12,500. Additionally, all members who successfully complete their term of service are eligible for an educational award of up to $7,395.00

Don't miss out on this incredible opportunity to make a real difference in your community - apply today!

*position offers contingent on AmeriCorps grant.

Further help on this page can be found by clicking here .","As a valued member of our team, you will: • Empower and Assist: Provide crucial legal information and support to self-represented litigants, both in-person at courthouses and remotely, ensuring they can access the legal aid resources they need. • Guide and Advocate: Accompany and guide individuals without legal representation through the courthouse, simplifying the complex legal process and helping them navigate their legal matters with confidence. • Inform and Connect: Answer general legal inquiries and connect individuals with essential legal aid and other vital services. • Growth and Development: Broaden your horizons through travel to Chicago and other regional locations for training, meetings, and invaluable opportunities to observe and learn from other sites. • Outreach and Awareness: Represent JusticeCorps at events and in the community to raise awareness for access to justice and build partnerships with key stakeholders.","Living Allowance , Health Coverage , Training , Education award upon successful completion of service , Childcare assistance if eligible .","Permits working at another job during off hours , Uniforms provided and required , Permits attendance at school during off hours .","['Community and Economic Development', 'Community Outreach']","['Law', 'Communications', 'Leadership', 'Recruitment', 'Team Work', 'General Skills', 'Social Services']",['AmeriCorps State / National'],08/18/2025,08/17/2026,['Full Time'],College graduate,18,99,,From  06/25/2025  To  07/20/2025,06/25/2025,07/20/2025,"Mercedes Boykin
20 S Clark St
Chicago   IL   60603
8155402270
mboykin@iljusticecorps.org
www.illinoisbarfoundation.org",74969,['Illinois'],
CAC AmeriCorps - 25 - 26,"CAC AmeriCorps is committed to changing people’s lives through environmental service, embodying the spirit of hope, improving communities and making East Tennessee a better place to live. CAC AmeriCorps leverages the skills, passions and ideals of our members in addressing pressing local environmental issues and interconnected social needs through evidence-based interventions throughout East Tennessee. This is accomplished through empowering each member to use their hands, heart and mind to build capacity in our partner organizations and uplift the community both through traditional conservation practice as well as professional technical application. Members are trained to be effective educators, story tellers, and stewards of the earth. CAC AmeriCorps has been in operation since 1994 and is the longest running environmental service corps in the State of Tennessee. Visit www.CACAmeriCorps.Org to learn more about our unique service opportunities.

Further help on this page can be found by clicking here .","Members are trained to be effective educators, story tellers, and stewards of the earth. Members will improve streams, rivers, trails, and public lands while providing high impact environmental education that will prepare K-12 youth to make a difference in their local environment.","Childcare assistance if eligible , Living Allowance , Training , Education award upon successful completion of service , Relocation Allowance , Stipend , Health Coverage .","Car recommended , Permits working at another job during off hours , Permits attendance at school during off hours , Uniforms provided and required .","['Environment', 'Community Outreach', 'Public Safety', 'Education', 'Children/Youth']","['Youth Development', 'Non-Profit Management', 'Community Organization', 'Communications', 'Urban Planning', 'Writing/Editing', 'Education', 'Environment', 'General Skills', 'Teaching/Tutoring', 'Trade/Construction', 'Leadership', 'Team Work', 'Public Speaking']",['AmeriCorps State / National'],09/08/2025,07/31/2026,['Full Time'],High school diploma/GED,18,99,['English'],From  01/13/2025  To  01/31/2026,01/13/2025,01/31/2026,"Lauren Bird
2247 Western Ave
Knoxville   TN   37921
8655463500
lauren.bird@knoxcac.org
www.cacamericorps.org",90438,['Tennessee'],
Habitat for Humanity Year of Service,"Habitat for Humanity has host sites in most states throughout the country.  We have five standard positions covering development of programs for each host site. Some host sites are located in large cities and others in small to medium cities and towns. Each one has a variety of things to do outside of service time, from lakes/oceans to mountains. Checkout the Habitat website to see exactly what positions are available and where they are located.

Further help on this page can be found by clicking here .","CONSTRUCTION SYSTEMS-creates, documents and implements a plan to improve construction operations. Test, evaluate and revise the project plan; develop manuals and training. PROJECT DEVELOPMENT-develops and implements new programs, creates or improves policies or procedures, and develops strategies to build leadership and leverage resources that increase the number of families served through the Habitat mission. FAMILY SERVICES–researches and implements a plan for homeowner family recruitment, tracking, scheduling and support with the goal to improve the overall experience for participants. RESOURCE DEVELOPMENT-creates, documents and implements a plan for donor engagement, tracking and recognition in order to increase the overall donor experience and donor buy-in to Habitat's mission. RESTORE DEVELOPMENT-researches and implements best practices for standard ReStore operating policies. Each project developed is created in a sustainable manner to continue beyond your service.","Living Allowance , Health Coverage* , Choice of Education Award or End of Service Stipend , Relocation Allowance , Childcare assistance if eligible , Training .","Permits working at another job during off hours , Car recommended , Permits attendance at school during off hours .",,"['Communications', 'Team Work', 'General Skills', 'Public Speaking', 'Leadership', 'Fund raising/Grant Writing', 'Writing/Editing', 'Computers/Technology']",['AmeriCorps VISTA'],01/02/2025,02/11/2026,['Full Time'],,18,None,['English'],From  01/02/2025  To  02/11/2026,01/02/2025,02/11/2026,"AmeriCorps Recruitment
322 W Lamar St
Americus   GA   31709
2294107510
habitatamericorps@habitat.org
bit.ly/3wj0jfj",99670,['Oklahoma'],
